champion ,dateWon,dateLost,Show,previousChampion 
Triple H,03/01/2000,30/04/2000,Raw,Big Show
Big Show,14/11/1999,03/01/2000,Survivor Series,Triple H
Triple H,26/09/1999,14/11/1999,Unforgiven,Vacated
Vacated,20/09/1999,26/09/1999,Raw,Vince McMahon
Vince McMahon,14/09/1999,20/09/1999,SmackDown!,Triple H
Triple H,23/08/1999,14/09/1999,Raw,Mankind
Mankind,22/08/1999,23/08/1999,SummerSlam,Stone Cold Steve Austin
Stone Cold Steve Austin,28/06/1999,22/08/1999,Raw,The Undertaker
The Undertaker,23/05/1999,28/06/1999,Over the Edge,Stone Cold Steve Austin
Stone Cold Steve Austin,28/03/1999,23/05/1999,WrestleMania XV,The Rock
The Rock,15/02/1999,28/03/1999,Raw,Mankind
Mankind,26/01/1999,15/02/1999,Halftime Heat,The Rock
The Rock,24/01/1999,26/01/1999,Royal Rumble,Mankind
Mankind,29/12/1998,24/01/1999,Raw,The Rock
The Rock,15/11/1998,29/12/1998,Survivor Series,Vacated
Vacated,27/09/1998,15/11/1998,Breakdown: In Your House,Stone Cold Steve Austin
Stone Cold Steve Austin,29/06/1998,27/09/1998,Raw,Kane
Kane,28/06/1998,29/06/1998,King of the Ring,Stone Cold Steve Austin
Stone Cold Steve Austin,29/03/1998,28/06/1998,WrestleMania XIV,Shawn Michaels
Shawn Michaels,09/11/1997,29/03/1998,Survivor Series,Bret Hart
Bret Hart,03/08/1997,09/11/1997,SummerSlam,The Undertaker
The Undertaker,23/03/1997,03/08/1997,WrestleMania 13,Sycho Sid
Sycho Sid,17/02/1997,23/03/1997,Raw,Bret Hart
Bret Hart,16/02/1997,17/02/1997,In Your House 13: Final Four,Vacated
Vacated,13/02/1997,16/02/1997,Raw,Shawn Michaels
Shawn Michaels,19/01/1997,13/02/1997,Royal Rumble,Sycho Sid
Sycho Sid,17/11/1996,19/01/1997,Survivor Series,Shawn Michaels
Shawn Michaels,31/03/1996,17/11/1996,WrestleMania XII,Bret Hart
Bret Hart,19/11/1995,31/03/1996,Survivor Series,Diesel
Diesel,26/11/1994,19/11/1995,House show,Bob Backlund
Bob Backlund,23/11/1994,26/11/1994,Survivor Series,Bret Hart
Bret Hart,20/03/1994,23/11/1994,WrestleMania X,Yokozuna
Yokozuna,13/06/1993,20/03/1994,King of the Ring,Hulk Hogan
Yokozuna,04/04/1993,04/04/1993,WrestleMania IX,Bret Hart
Hulk Hogan,04/04/1993,13/06/1993,WrestleMania IX,Yokozuna
Bret Hart,12/10/1992,04/04/1993,House show,Ric Flair
Ric Flair,01/09/1992,12/10/1992,Prime Time Wrestling,Randy Savage
Randy Savage,05/04/1992,01/09/1992,WrestleMania VIII,Ric Flair
Ric Flair,19/01/1992,05/04/1992,Royal Rumble,Vacated
Vacated,04/12/1991,19/01/1992,Superstars of Wrestling,Hulk Hogan
Hulk Hogan,03/12/1991,04/12/1991,This Tuesday in Texas,The Undertaker
The Undertaker,27/11/1991,03/12/1991,Survivor Series,Hulk Hogan
Hulk Hogan,24/03/1991,27/11/1991,WrestleMania VII,Sgt. Slaughter
Sgt. Slaughter,19/01/1991,24/03/1991,Royal Rumble,The Ultimate Warrior
The Ultimate Warrior,01/04/1990,19/01/1991,WrestleMania VI,Hulk Hogan
Hulk Hogan,02/04/1989,01/04/1990,WrestleMania V,Randy Savage
Randy Savage,27/03/1988,02/04/1989,WrestleMania IV,Vacated
Vacated,13/02/1988,27/03/1988,Superstars of Wrestling,Ted DiBiase
André the Giant,05/02/1988,05/02/1988,The Main Event I,Hulk Hogan
Ted DiBiase,05/02/1988,13/02/1988,The Main Event I,André the Giant
Hulk Hogan,23/01/1984,05/02/1988,WWF on MSG Network,The Iron Sheik
The Iron Sheik,26/12/1983,23/01/1984,WWF on MSG Network,Bob Backlund
Bob Backlund,17/12/1979,26/12/1983,WWF on MSG Network,Vacated
Vacated,06/12/1979,17/12/1979,The Title was Vacant,Antonio Inoki
Antonio Inoki,30/11/1979,06/12/1979,Toukon Series,Bob Backlund
Bob Backlund,20/02/1978,30/11/1979,WWF on MSG Network,Superstar Billy Graham
Superstar Billy Graham,30/04/1977,20/02/1978,House show,Bruno Sammartino
Bruno Sammartino,10/12/1973,30/04/1977,House show,Stan Stasiak
Stan Stasiak,01/12/1973,10/12/1973,House show,Pedro Morales
Pedro Morales,08/02/1971,01/12/1973,House show,Ivan Koloff
Ivan Koloff,18/01/1971,08/02/1971,House show,Bruno Sammartino
Bruno Sammartino,17/05/1963,18/01/1971,House show,Buddy Rogers
Buddy Rogers,04/11/1963,17/05/1963,House show,The First Champion. 
